,K,THETA,Mean_Time
0,12,1.2,49.002989507478794
1,12,1.3,50.48850570212098
2,12,1.4,51.17654581726903
3,12,1.5,52.62829438394854
4,12,1.6,53.74418686776739
5,12,1.7,55.115633720235046
6,12,1.8,56.09321172231754
7,13,1.2,49.946837550284805
8,13,1.3,51.50882355210039
9,13,1.4,52.906849340948966
10,13,1.5,54.21837232958712
11,13,1.6,55.407264138611474
12,13,1.7,56.55675814782593
13,13,1.8,58.338544504277365
14,14,1.2,51.02133316186817
15,14,1.3,52.92137800181635
16,14,1.4,54.232950162492536
17,14,1.5,55.8233706623706
18,14,1.6,56.95358003923759
19,14,1.7,58.37176032215143
20,14,1.8,59.7854774323792
21,15,1.2,52.72859667227541
22,15,1.3,54.077213463945675
23,15,1.4,55.587521664164534
24,15,1.5,57.13734934333355
25,15,1.6,59.0515819268014
26,15,1.7,60.04795456721165
27,15,1.8,61.509524547143066
28,16,1.2,53.71745540597081
29,16,1.3,55.45296824842181
30,16,1.4,56.9008736110939
31,16,1.5,58.8043689908068
32,16,1.6,60.36950527695551
33,16,1.7,61.83484498803974
34,16,1.8,63.46784836349286
35,17,1.2,55.064879937787886
36,17,1.3,57.02885029236249
37,17,1.4,58.41720746686763
38,17,1.5,59.977835123931925
39,17,1.6,61.75992769977032
40,17,1.7,63.35857135111842
41,17,1.8,65.2822820599347
42,18,1.2,56.4216855068465
43,18,1.3,58.0916247550533
44,18,1.4,59.89587815391055
45,18,1.5,61.783892863830395
46,18,1.6,62.982645823234776
47,18,1.7,65.27830762467676
48,18,1.8,66.77386191757724
